year,total_funding,total_deals,average_deal_size
2015,8597207368,929,13391288.735202491
2016,3828088608,993,6532574.416382252
2017,10429309730,687,22871293.26754386
2018,5116118369,309,19379236.24621212
2019,9686576535.220001,111,93140158.9925
2020,390207254,7,55743893.428571425
